soil_property,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
pH,0.02411823811226382,0.010389167195269809,0.016636000702568723,0.0037189503087213267,0.004620100798348984,0.0,0.02094622107644299,0.011045810310083216,0.016616750848222873,0.019749785600516025
OC,0.012745624674800983,0.005713545265611552,0.015375010145217978,0.005651004412698597,0.003800448776761091,0.0,0.02168986584625913,0.012770267206852778,0.00739813142282858,0.012122694075331265
EC,0.002214621144086247,0.0008197024485390616,0.0025747000753767297,0.0005867848170441998,0.00017405746068455667,0.0,0.0011836215725182957,0.001506453572639178,0.0031455615780664747,0.0016279565259314163
K2O,3.7543527756990915,2.7237174910349236,4.092794451138048,0.6876444943593726,2.380425786181236,0.0,2.5089436249928307,1.7021562850638945,2.851885552271139,2.3330315434029374
available_P,0.9298068948854219,1.123142634876835,1.1653139496341791,1.109514044595754,0.24222685004770506,0.0,1.4032259133567777,2.1352375601086098,1.2860440860282518,2.1150823176351845
available_N,3.2040450003740486,1.4817177029977415,4.993131436154662,1.5336071406422143,0.25733590936560213,0.0,3.050476746853977,2.6472499944787007,7.365085365515455,2.3843979387306593
CEC,0.42072136153261286,0.17755474869029275,0.5827042044805526,0.14504172191275017,0.11866229568102625,0.0,0.21110879888117992,0.2323269620097985,0.24695307404878225,0.1601219743046382
bulk_density,4.515335851886911,3.4152753724292078,4.097783235604011,0.8045397501193416,0.2086478408051341,0.0,2.5126785564998144,2.8031648585573112,2.1508106447299564,2.46953171140597
CaCO3,0.05381502909254697,0.01994273887433435,0.043944890425021255,0.009898883592863766,0.004313509529252376,0.0,0.034127350530494274,0.045970531813908984,0.046528319953010586,0.03077474544677446
