date,satellite,cloud_pct,status,season,threshold,action
2025-06-27,Sentinel-2C,66.6,REJECTED,Kharif,50,Skipped — cloud cover 66.6% exceeds 50% Kharif QA threshold
2025-06-30,Sentinel-2C,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-06-30,Sentinel-2C,99.8,REJECTED,Kharif,50,Skipped — cloud cover 99.8% exceeds 50% Kharif QA threshold
2025-07-02,Sentinel-2B,25.8,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-02,Sentinel-2B,27.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-05,Sentinel-2B,62.5,REJECTED,Kharif,50,Skipped — cloud cover 62.5% exceeds 50% Kharif QA threshold
2025-07-05,Sentinel-2B,37.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-07,Sentinel-2C,36.2,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-07,Sentinel-2C,64.2,REJECTED,Kharif,50,Skipped — cloud cover 64.2% exceeds 50% Kharif QA threshold
2025-07-09,Sentinel-2A,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-07-10,Sentinel-2C,99.7,REJECTED,Kharif,50,Skipped — cloud cover 99.7% exceeds 50% Kharif QA threshold
2025-07-10,Sentinel-2C,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100% exceeds 50% Kharif QA threshold
2025-07-12,Sentinel-2A,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100% exceeds 50% Kharif QA threshold
2025-07-12,Sentinel-2B,91.9,REJECTED,Kharif,50,Skipped — cloud cover 91.9% exceeds 50% Kharif QA threshold
2025-07-12,Sentinel-2B,99.1,REJECTED,Kharif,50,Skipped — cloud cover 99.1% exceeds 50% Kharif QA threshold
2025-07-12,Sentinel-2A,99.4,REJECTED,Kharif,50,Skipped — cloud cover 99.4% exceeds 50% Kharif QA threshold
2025-07-15,Sentinel-2B,89.8,REJECTED,Kharif,50,Skipped — cloud cover 89.8% exceeds 50% Kharif QA threshold
2025-07-15,Sentinel-2B,98.0,REJECTED,Kharif,50,Skipped — cloud cover 98.0% exceeds 50% Kharif QA threshold
2025-07-17,Sentinel-2C,88.5,REJECTED,Kharif,50,Skipped — cloud cover 88.5% exceeds 50% Kharif QA threshold
2025-07-17,Sentinel-2C,92.7,REJECTED,Kharif,50,Skipped — cloud cover 92.7% exceeds 50% Kharif QA threshold
2025-07-20,Sentinel-2C,92.7,REJECTED,Kharif,50,Skipped — cloud cover 92.7% exceeds 50% Kharif QA threshold
2025-07-20,Sentinel-2C,99.9,REJECTED,Kharif,50,Skipped — cloud cover 99.9% exceeds 50% Kharif QA threshold
2025-07-22,Sentinel-2B,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-07-25,Sentinel-2B,4.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-25,Sentinel-2B,9.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-07-27,Sentinel-2C,92.7,REJECTED,Kharif,50,Skipped — cloud cover 92.7% exceeds 50% Kharif QA threshold
2025-07-27,Sentinel-2C,93.8,REJECTED,Kharif,50,Skipped — cloud cover 93.8% exceeds 50% Kharif QA threshold
2025-07-27,Sentinel-2C,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-07-29,Sentinel-2A,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100% exceeds 50% Kharif QA threshold
2025-07-30,Sentinel-2C,99.7,REJECTED,Kharif,50,Skipped — cloud cover 99.7% exceeds 50% Kharif QA threshold
2025-07-30,Sentinel-2C,99.9,REJECTED,Kharif,50,Skipped — cloud cover 99.9% exceeds 50% Kharif QA threshold
2025-08-01,Sentinel-2B,99.6,REJECTED,Kharif,50,Skipped — cloud cover 99.6% exceeds 50% Kharif QA threshold
