,NDVI,NDBI,SAVI,BSI
pH,-0.016361437394184004,-0.009942732488497084,0.0025157316756489433,0.0014465039793960248
OC,-0.07018029902392542,0.05535586359760656,-0.07611608750307242,0.06759080503499273
EC,-0.020097574909665038,0.030726565677707547,-0.04390177242458524,0.031504622494846694
K2O,0.006674607925645567,-0.005480924917432317,0.03723539716599198,0.011612949657526406
available_P,0.0009056719749169792,-0.019899741826747266,-0.02726448268821502,-0.025902218482625607
available_N,-0.15253886683676432,0.1605391273759649,-0.18029319244421702,0.15235297218869165
CEC,0.00012857557366321407,-0.0003257247866134756,-0.03966127862264609,-0.003842695311547924
bulk_density,-0.008903812038487405,0.01170565840267959,-0.03255299783812564,0.010453716327526693
CaCO3,0.013089730500157706,-0.049494043141772595,0.02691745515393202,-0.0352355032480632
