sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
filebc494d5a79.63,628325.0,3400675.0,76.34040279,30.73205796,222.719,8.4,0.133,116.0656,8.288,0.465,1.125,188.16,14.0652174,225.4755859375,7.0,60.94023895263672,3.0,1.0,1.0,0.4147407990275247,-0.0779298289158762,0.2428676020115695,-0.0092201786351989
filebc494d5a79.64,633215.0,3405645.0,76.39211316,30.7763543,191.25,8.23,0.171,180.1716,19.712,0.675,1.375,200.704,14.0652174,224.5482635498047,3.0,281.7798156738281,2.0,1.0,1.0,0.6548435054358649,-0.2563928479009864,0.394434456807033,-0.1995677186973097
filebc494d5a79.65,627005.0,3399735.0,76.32650188,30.72371971,251.05,8.54,0.131,109.3176,8.96,0.615,0.5,225.792,21.126087,221.33023071289065,3.0,304.38739013671875,2.0,1.0,1.0,0.7191780920951296,-0.3098499590145171,0.4444967141572842,-0.2592196669733864
filebc494d5a79.66,625345.0,3411945.0,76.31066064,30.83404417,194.453,8.488,0.078,22.9432,13.664,0.36,0.75,263.424,17.1521739,223.4288024902344,2.0,163.71340942382812,3.0,1.0,1.0,0.5187376708447229,-0.1498257958603254,0.2943297728477165,-0.0920930281557089
filebc494d5a79.67,624245.0,3400055.0,76.29772008,30.72689788,152.73,8.596,0.104,48.5856,10.528,0.24,0.375,200.704,8.72173913,221.9904937744141,5.0,139.99728393554688,3.0,1.0,1.0,0.4699945655067797,-0.1765091211174676,0.2982344961294294,-0.0935046490582192
filebc494d5a79.68,630465.0,3407325.0,76.36359609,30.79181482,206.35,8.42,0.116,93.1224,32.032,0.255,0.5,150.528,19.2456522,223.7385406494141,2.0,190.97329711914065,2.0,2.0,1.0,0.4621532815002099,-0.2228047367490205,0.2700384707571787,-0.1229155091881977
filebc494d5a79.69,625965.0,3404375.0,76.31621115,30.76568859,272.806,8.352,0.125,97.846,14.784,0.2775,0.75,225.792,1.02173913,221.8495330810547,2.0,289.72802734375,2.0,1.0,1.0,0.400412064189004,-0.0988951658118609,0.2210566083476674,-0.0312143025509205
filebc494d5a79.70,626495.0,3416275.0,76.32321906,30.87298295,273.155,8.373,0.152,68.8296,11.648,0.675,0.5,263.424,14.0652174,221.33831787109372,2.0,4.729072570800781,2.0,1.0,1.0,0.3633519329933844,-0.1042309281968613,0.2309088866691589,-0.0216145934458381
filebc494d5a79.71,636455.0,3405525.0,76.42594685,30.77490395,292.225,8.482,0.113,60.0572,12.096,0.375,0.25,225.792,20.9521739,226.8852386474609,4.0,208.7229766845703,2.0,1.0,1.0,0.5395621058212098,-0.0902671352259104,0.2554916879170688,-0.0579286257748985
filebc494d5a79.72,629125.0,3406215.0,76.3494541,30.78194804,249.9,8.696,0.068,27.6668,6.048,0.12,0.5,188.16,14.0652174,222.4722595214844,2.0,313.3414001464844,2.0,1.0,1.0,0.4812834043495852,-0.1538661899743309,0.2702702591839966,-0.0898407857781236
