longitude,latitude,class_code,season
76.32760390342544,30.712052091120263,1,Rabi_2025_26
76.32670558814132,30.71295040640438,1,Rabi_2025_26
76.32760390342544,30.71295040640438,2,Rabi_2025_26
76.32850221870956,30.71295040640438,1,Rabi_2025_26
76.32940053399369,30.71295040640438,1,Rabi_2025_26
76.3258072728572,30.7138487216885,1,Rabi_2025_26
76.32670558814132,30.7138487216885,1,Rabi_2025_26
76.32760390342544,30.7138487216885,1,Rabi_2025_26
76.32850221870956,30.7138487216885,1,Rabi_2025_26
76.32940053399369,30.7138487216885,1,Rabi_2025_26
76.33029884927781,30.7138487216885,1,Rabi_2025_26
76.29077297677655,30.71474703697262,1,Rabi_2025_26
76.29167129206067,30.71474703697262,1,Rabi_2025_26
76.3258072728572,30.71474703697262,1,Rabi_2025_26
76.32670558814132,30.71474703697262,1,Rabi_2025_26
76.32760390342544,30.71474703697262,1,Rabi_2025_26
76.32850221870956,30.71474703697262,1,Rabi_2025_26
76.32940053399369,30.71474703697262,1,Rabi_2025_26
76.28987466149242,30.71564535225674,2,Rabi_2025_26
76.29077297677655,30.71564535225674,1,Rabi_2025_26
76.29167129206067,30.71564535225674,1,Rabi_2025_26
76.29256960734479,30.71564535225674,1,Rabi_2025_26
76.2934679226289,30.71564535225674,1,Rabi_2025_26
76.29436623791302,30.71564535225674,1,Rabi_2025_26
76.32490895757309,30.71564535225674,1,Rabi_2025_26
76.3258072728572,30.71564535225674,1,Rabi_2025_26
76.32670558814132,30.71564535225674,1,Rabi_2025_26
76.32760390342544,30.71564535225674,1,Rabi_2025_26
76.32850221870956,30.71564535225674,1,Rabi_2025_26
76.32940053399369,30.71564535225674,1,Rabi_2025_26
76.34197694797136,30.71564535225674,1,Rabi_2025_26
76.34287526325548,30.71564535225674,1,Rabi_2025_26
76.3437735785396,30.71564535225674,1,Rabi_2025_26
76.2889763462083,30.71654366754086,1,Rabi_2025_26
76.28987466149242,30.71654366754086,2,Rabi_2025_26
76.29077297677655,30.71654366754086,1,Rabi_2025_26
76.29167129206067,30.71654366754086,1,Rabi_2025_26
76.29256960734479,30.71654366754086,1,Rabi_2025_26
76.2934679226289,30.71654366754086,1,Rabi_2025_26
76.29436623791302,30.71654366754086,1,Rabi_2025_26
76.29526455319714,30.71654366754086,1,Rabi_2025_26
76.29616286848126,30.71654366754086,1,Rabi_2025_26
