longitude,latitude,class,class_name,landuse,date,NDVI,NDWI,MNDWI
76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,2025-01-06,0.4375971,-0.33976835,-0.020408163
76.33189366596719,30.75885190554769,3,Agroforestry,agroforestry,2025-01-06,0.2902118,-0.24187328,-0.10445818
76.36817665217716,30.856907118857684,3,Agroforestry,poplar+sugarcane (small),2025-01-06,0.32038835,-0.257468,-0.2922034
76.4166436416022,30.760389929548943,2,Maize_Tall,Maize big8282,2025-01-06,0.5304102,-0.42602965,-0.2409586
76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,2025-01-06,0.2933194,-0.2408613,-0.12064965
76.33456189168277,30.86122779189324,2,Maize_Tall,maize,2025-01-06,0.45987183,-0.37550315,-0.20322818
76.29792509856131,30.82000731192583,2,Maize_Tall,maize,2025-01-06,0.47659335,-0.37862033,-0.11311537
76.34376863969742,30.793916570572435,2,Maize_Tall,maize,2025-01-06,0.48152426,-0.39305103,-0.14819048
76.34012878696949,30.795217380997116,2,Maize_Tall,maize,2025-01-06,0.44643962,-0.36368942,-0.1892897
76.36285224334434,30.77612383261206,2,Maize_Tall,maize,2025-01-06,0.66863066,-0.5271786,-0.14906833
76.35342030902784,30.774147493269478,2,Maize_Tall,maize,2025-01-06,0.5921951,-0.4676259,-0.13418648
76.29176418733536,30.7266866256186,2,Maize_Tall,maize,2025-01-06,0.4778157,-0.38338658,-0.021236133
76.32470989829504,30.730143949818977,2,Maize_Tall,maize,2025-01-06,0.41846153,-0.2992015,-0.07329193
76.3372709413635,30.724601665794108,2,Maize_Tall,maize,2025-01-06,0.6231166,-0.50593644,-0.1977612
76.29230657829105,30.775131887534144,2,Maize_Tall,maize,2025-01-06,0.3648294,-0.28649184,-0.06211382
76.26669817963302,30.782512343433314,2,Maize_Tall,maize,2025-01-06,0.28018868,-0.2208727,0.051608987
76.28596931342835,30.80145016765359,2,Maize_Tall,maize,2025-01-06,0.5451505,-0.4386921,-0.118581906
76.32480790315338,30.744939736203033,2,Maize_Tall,maize,2025-01-06,0.27661973,-0.23622477,-0.17767988
76.32471679843447,30.776428844827407,2,Maize_Tall,maize,2025-01-06,0.31782067,-0.24370648,-0.0948718
76.32275595834642,30.770584312064354,2,Maize_Tall,maize,2025-01-06,0.31195337,-0.25069484,-0.1864816
76.30552419358486,30.73250377163866,2,Maize_Tall,maize,2025-01-06,0.2987805,-0.27608588,-0.17707151
76.37397290028238,30.749841766549267,2,Maize_Tall,maize,2025-01-06,0.44520977,-0.32949308,-0.08454581
76.34235526401403,30.76740552643507,4,Others,(long) sugarcane,2025-01-06,0.45589072,-0.34702474,-0.14482759
76.31754465226645,30.75620151079658,4,Others,Maize (just growing),2025-01-06,0.4976203,-0.38551858,-0.08853411
76.3961759632188,30.775498613835964,4,Others,bajra,2025-01-06,0.5345044,-0.43882352,-0.14554411
76.27854219683815,30.785193040794244,4,Others,bajra,2025-01-06,0.41503268,-0.33952048,-0.038288288
76.36282349321411,30.855520027998757,4,Others,banana,2025-01-06,0.57109284,-0.4540511,-0.1019678
76.28279388599485,30.822052721289708,4,Others,barseem,2025-01-06,0.582505,-0.48010412,-0.11490978
76.31663232437272,30.85789269955634,4,Others,barseem,2025-01-06,0.5094541,-0.41558442,-0.1829609
76.36283108048643,30.841264844101147,4,Others,barseem,2025-01-06,0.67302334,-0.5467512,-0.25008193
76.37949074542846,30.785150598595393,4,Others,bitergourd+chilli+tomato cucumber,2025-01-06,0.20646067,-0.2073085,-0.25740618
76.34793970488174,30.785753171482895,4,Others,brinjal+chilli,2025-01-06,0.50461704,-0.3975782,-0.1265545
76.34368821251354,30.72796390224372,4,Others,cabbage,2025-01-06,0.48387095,-0.4157097,-0.23327306
76.35078086441705,30.779678640021974,4,Others,cucumber,2025-01-06,0.4506636,-0.35379645,-0.14255092
76.36658333019827,30.80351231681864,4,Others,cucumber,2025-01-06,0.5157354,-0.4097969,-0.19478403
76.29551209434233,30.803791173649973,4,Others,cucumber,2025-01-06,0.3819178,-0.2756702,-0.090793654
76.30453976944666,30.798918749469113,4,Others,cucumber,2025-01-06,0.45765936,-0.36969155,0.044057757
76.37930536023663,30.772160488496635,4,Others,cucumber+bittergourd,2025-01-06,0.5332068,-0.4445769,-0.21943049
76.30805708845197,30.850220442804865,4,Others,flower,2025-01-06,0.2007874,-0.13172542,-0.08205296
76.36283237849845,30.848753274858748,4,Others,fodder +nappier,2025-01-06,0.34552845,-0.34008098,-0.35466844
76.3811651441,30.778005174828024,4,Others,fodder(barseem),2025-01-06,0.54022986,-0.43882453,-0.18773006
76.31077396641193,30.765382757714164,4,Others,green chilli,2025-01-06,0.4660541,-0.34772408,-0.06680094
76.36167469580474,30.84082589699215,4,Others,horticulture( guava+mango+Spota),2025-01-06,0.55825245,-0.47968885,-0.22588941
76.34842577145523,30.760666004735327,4,Others,karela+cucumber+beetroot(chukandar),2025-01-06,0.47185692,-0.37156862,-0.053525288
76.33930773738875,30.758595111807107,4,Others,ladyfinger,2025-01-06,0.4460147,-0.35774946,-0.110621095
76.36228650580743,30.743378700929384,4,Others,marigold,2025-01-06,0.4307949,-0.34412533,-0.1286854
76.31536987739328,30.81901935795536,4,Others,muskmelon,2025-01-06,0.42166024,-0.3220859,-0.0820353
76.29902038014657,30.730403644204934,4,Others,mustar+sugarcane,2025-01-06,0.36788097,-0.27865708,-0.027795734
76.32580906050669,30.86357329714027,4,Others,mustard,2025-01-06,0.41275167,-0.3609914,-0.246745
76.3283037965211,30.870043745078462,4,Others,mustard,2025-01-06,0.27802408,-0.2596754,-0.20748413
76.35540637507012,30.78910379695007,4,Others,mustard,2025-01-06,0.2428035,-0.238927,-0.24761024
76.34946916220666,30.775542025581373,4,Others,mustard,2025-01-06,0.41624078,-0.32659575,-0.16047746
76.39147455640956,30.761023297340483,4,Others,mustard,2025-01-06,0.62377995,-0.55480033,-0.2096531
76.31588863981223,30.734293801052193,4,Others,napier/zugrcane,2025-01-06,0.33943903,-0.24667022,-0.04845222
76.33948466009275,30.85422981817841,4,Others,okra+onion,2025-01-06,0.646082,-0.5242672,-0.21272366
76.34143653009487,30.84419490689035,4,Others,onion,2025-01-06,0.6178795,-0.5058346,-0.15816768
76.30863864371808,30.785163398826068,4,Others,sugarcane,2025-01-06,0.39593115,-0.30092368,-0.09673367
76.33709320447916,30.76466295324718,4,Others,sugarcane( now sown)(1 m height),2025-01-06,0.4341923,-0.36067298,-0.15526225
76.33978981411703,30.831039436561845,4,Others,vegatble+muskmelon,2025-01-06,0.516295,-0.392126,-0.16480346
76.32851138051906,30.816810133534638,4,Others,vegetable+muskmelon,2025-01-06,0.57028115,-0.4945055,0.0342131
76.31730500737402,30.7846245072241,4,Others,wasteland,2025-01-06,0.45813334,-0.36359102,-0.06861314
76.39727533319994,30.78649390839142,4,Others,wasteland223,2025-01-06,0.29195088,-0.32078102,-0.3762408
76.37615324407697,30.770930858725862,1,Wheat,WHEat,2025-01-06,0.5629139,-0.43663532,-0.14345814
76.33683564445974,30.761146881649108,1,Wheat,Wheat +sugarcane,2025-01-06,0.4325069,-0.32992327,-0.07746479
76.30304371037768,30.788738493646804,1,Wheat,Wheatnxbx,2025-01-06,0.32527474,-0.26947367,-0.07435812
76.3139493490568,30.837529549570675,1,Wheat,whaeat+ sugarcane(small),2025-01-06,0.4015831,-0.3353444,-0.16776833
76.31453613744078,30.81920826698816,1,Wheat,whaet,2025-01-06,0.5016544,-0.39943075,-0.122965015
76.29814992816998,30.82117796707127,1,Wheat,whaet,2025-01-06,0.4169279,-0.31714424,-0.06016043
76.42750271390513,30.78120236833959,1,Wheat,wheaatat,2025-01-06,0.28467155,-0.27814087,-0.27152804
76.39659626619786,30.78289233009027,1,Wheat,whearary,2025-01-06,0.35728282,-0.3533051,-0.2575701
76.31219930221343,30.831863228198408,1,Wheat,wheat,2025-01-06,0.60519,-0.4816082,-0.12427746
76.32227396984737,30.85747430968661,1,Wheat,wheat,2025-01-06,0.6270522,-0.50772023,-0.13591072
76.32907569970385,30.865344250070226,1,Wheat,wheat,2025-01-06,0.29642135,-0.24031007,-0.19672132
76.33635083647873,30.862021339115508,1,Wheat,wheat,2025-01-06,0.51724136,-0.4201313,-0.18649271
76.35628685281,30.85919755805346,1,Wheat,wheat,2025-01-06,0.5944141,-0.4621381,-0.17471166
76.36560731235593,30.860092016350375,1,Wheat,wheat,2025-01-06,0.66519207,-0.5711775,-0.2998565
76.33861676652617,30.821848829624066,1,Wheat,wheat,2025-01-06,0.37935442,-0.28528887,-0.19571045
76.33882394188781,30.829244966877127,1,Wheat,wheat,2025-01-06,0.5456,-0.44538653,-0.024561403
76.33389484309677,30.83570164606407,1,Wheat,wheat,2025-01-06,0.45345345,-0.33259913,-0.16442606
76.327723131096,30.8354943936211,1,Wheat,wheat,2025-01-06,0.6825397,-0.58537596,-0.17349896
76.3457924495507,30.834135001503334,1,Wheat,wheat,2025-01-06,0.6417832,-0.5095804,-0.15644556
76.3479171843637,30.829060437263493,1,Wheat,wheat,2025-01-06,0.49909475,-0.3723757,-0.18799143
76.34904797386542,30.820206837017224,1,Wheat,wheat,2025-01-06,0.41252193,-0.3359159,-0.16083916
76.33005558509234,30.81508004960485,1,Wheat,wheat,2025-01-06,0.4986165,-0.4023822,-0.15457876
76.31471814971749,30.817221504794404,1,Wheat,wheat,2025-01-06,0.56145525,-0.433213,-0.057057057
76.34061885002538,30.807933782661213,1,Wheat,wheat,2025-01-06,0.47498456,-0.37241378,-0.17272727
76.33952241919195,30.804245972311517,1,Wheat,wheat,2025-01-06,0.30329522,-0.24951644,-0.19585492
76.33613323464672,30.801032923323405,1,Wheat,wheat,2025-01-06,0.58481884,-0.46129376,-0.123382226
76.33667910581572,30.79516277962536,1,Wheat,wheat,2025-01-06,0.55588675,-0.4373566,-0.1807551
76.35207433936421,30.79743911919715,1,Wheat,wheat,2025-01-06,0.3122689,-0.26098192,-0.21212122
76.35962027132847,30.791495688144888,1,Wheat,wheat,2025-01-06,0.52669233,-0.40313607,-0.16341724
76.35972896233446,30.784366928795496,1,Wheat,wheat,2025-01-06,0.43173862,-0.3778776,-0.16282584
76.36657632271489,30.766069867967516,1,Wheat,wheat,2025-01-06,0.5235457,-0.41972122,-0.14361905
76.32865192989856,30.781441107272677,1,Wheat,wheat,2025-01-06,0.5015015,-0.39990667,-0.13019952
76.31881297799141,30.764940360108138,1,Wheat,wheat,2025-01-06,0.3290392,-0.2498738,-0.05229592
76.29610663303197,30.739004138265756,1,Wheat,wheat,2025-01-06,0.48653197,-0.3921955,0.014473684
76.2997901342746,30.733283130925173,1,Wheat,wheat,2025-01-06,0.35309413,-0.2811423,-0.035985474
76.31201700514183,30.756889111209215,1,Wheat,wheat,2025-01-06,0.47534883,-0.39183852,-0.016323633
76.31113924532524,30.761499424354117,1,Wheat,wheat,2025-01-06,0.36557463,-0.27785888,-0.066960074
76.30147513189145,30.773145474987185,1,Wheat,wheat,2025-01-06,0.41028333,-0.30675742,-0.097468354
76.2901947140822,30.78913768790817,1,Wheat,wheat,2025-01-06,0.27075422,-0.21852237,-0.10005992
76.28809417174969,30.79619606626463,1,Wheat,wheat,2025-01-06,0.5076297,-0.4074074,-0.054903444
76.30017248325814,30.800586665256873,1,Wheat,wheat,2025-01-06,0.336374,-0.25213677,-0.08196721
