sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.124,30.82186974,76.34530773,628675.0,3410635.0,38.0,47.1,18.0,37.64,LOW,MODERATE,LOW
filebc494d5a79.125,30.76114688,76.33683564,627945.0,3403895.0,32.0,39.9,16.9,32.14,LOW,LOW,LOW
filebc494d5a79.126,30.77093086,76.37615324,631695.0,3405025.0,59.5,53.4,19.9,49.13999999999999,MODERATE,MODERATE,LOW
filebc494d5a79.127,30.81472002,76.39852006,633775.0,3409905.0,51.2,49.5,20.1,44.300000000000004,MODERATE,MODERATE,LOW
filebc494d5a79.128,30.78425622,76.27288668,621795.0,3406385.0,52.1,57.0,17.8,47.2,MODERATE,MODERATE,LOW
filebc494d5a79.129,30.81508005,76.33005559,627225.0,3409865.0,41.9,50.5,14.7,39.900000000000006,LOW,MODERATE,LOW
filebc494d5a79.130,30.85475484,76.34106062,628225.0,3414275.0,35.5,43.3,16.2,34.760000000000005,LOW,LOW,LOW
filebc494d5a79.131,30.78289233,76.39659627,633635.0,3406375.0,26.4,41.2,20.4,31.119999999999997,LOW,LOW,LOW
filebc494d5a79.132,30.83154901,76.37722646,631715.0,3411745.0,43.9,47.0,22.6,40.88,LOW,MODERATE,LOW
filebc494d5a79.133,30.84535185,76.38578892,632515.0,3413285.0,53.0,48.7,23.8,45.440000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.134,30.77206159,76.43823426,637635.0,3405225.0,42.9,38.7,21.7,36.980000000000004,LOW,LOW,LOW
filebc494d5a79.135,30.84614898,76.35307076,629385.0,3413335.0,30.6,44.0,17.0,33.24,LOW,LOW,LOW
filebc494d5a79.136,30.81874873,76.31536619,625815.0,3410255.0,38.6,42.5,23.0,37.04,LOW,LOW,LOW
filebc494d5a79.137,30.83413609,76.34568791,628695.0,3411995.0,33.8,45.2,19.7,35.54,LOW,MODERATE,LOW
filebc494d5a79.138,30.73373092,76.34439491,628705.0,3400865.0,54.9,59.2,19.7,49.58,MODERATE,MODERATE,LOW
filebc494d5a79.139,30.84218002,76.38710264,632645.0,3412935.0,52.0,50.8,19.0,44.92,MODERATE,MODERATE,LOW
filebc494d5a79.140,30.74412051,76.35174676,629395.0,3402025.0,50.7,50.9,17.7,44.18,MODERATE,MODERATE,LOW
filebc494d5a79.141,30.78649391,76.39727533,633695.0,3406775.0,51.4,48.6,22.7,44.54,MODERATE,MODERATE,LOW
filebc494d5a79.142,30.80769167,76.36382029,630465.0,3409085.0,51.1,46.9,24.6,44.120000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.143,30.72977947,76.29828091,624295.0,3400375.0,49.0,45.1,19.6,41.56,MODERATE,MODERATE,LOW
filebc494d5a79.144,30.82607142,76.39168006,633105.0,3411155.0,62.9,51.8,25.5,50.98,MODERATE,MODERATE,LOW
