longitude,latitude,class,class_name,landuse,date,NDVI
76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,2025-01-06,0.4375971
76.33189366596719,30.75885190554769,3,Agroforestry,agroforestry,2025-01-06,0.2902118
76.36817665217716,30.856907118857684,3,Agroforestry,poplar+sugarcane (small),2025-01-06,0.32038835
76.4166436416022,30.760389929548943,2,Maize_Tall,Maize big8282,2025-01-06,0.5304102
76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,2025-01-06,0.2933194
76.33456189168277,30.86122779189324,2,Maize_Tall,maize,2025-01-06,0.45987183
76.29792509856131,30.82000731192583,2,Maize_Tall,maize,2025-01-06,0.47659335
76.34376863969742,30.793916570572435,2,Maize_Tall,maize,2025-01-06,0.48152426
76.34012878696949,30.795217380997116,2,Maize_Tall,maize,2025-01-06,0.44643962
76.36285224334434,30.77612383261206,2,Maize_Tall,maize,2025-01-06,0.66863066
76.35342030902784,30.774147493269478,2,Maize_Tall,maize,2025-01-06,0.5921951
76.29176418733536,30.7266866256186,2,Maize_Tall,maize,2025-01-06,0.4778157
76.32470989829504,30.730143949818977,2,Maize_Tall,maize,2025-01-06,0.41846153
76.3372709413635,30.724601665794108,2,Maize_Tall,maize,2025-01-06,0.6231166
76.29230657829105,30.775131887534144,2,Maize_Tall,maize,2025-01-06,0.3648294
76.26669817963302,30.782512343433314,2,Maize_Tall,maize,2025-01-06,0.28018868
76.28596931342835,30.80145016765359,2,Maize_Tall,maize,2025-01-06,0.5451505
76.32480790315338,30.744939736203033,2,Maize_Tall,maize,2025-01-06,0.27661973
76.32471679843447,30.776428844827407,2,Maize_Tall,maize,2025-01-06,0.31782067
76.32275595834642,30.770584312064354,2,Maize_Tall,maize,2025-01-06,0.31195337
76.30552419358486,30.73250377163866,2,Maize_Tall,maize,2025-01-06,0.2987805
76.37397290028238,30.749841766549267,2,Maize_Tall,maize,2025-01-06,0.44520977
76.34235526401403,30.76740552643507,4,Others,(long) sugarcane,2025-01-06,0.45589072
76.31754465226645,30.75620151079658,4,Others,Maize (just growing),2025-01-06,0.4976203
76.3961759632188,30.775498613835964,4,Others,bajra,2025-01-06,0.5345044
76.27854219683815,30.785193040794244,4,Others,bajra,2025-01-06,0.41503268
76.36282349321411,30.855520027998757,4,Others,banana,2025-01-06,0.57109284
76.28279388599485,30.822052721289708,4,Others,barseem,2025-01-06,0.582505
76.31663232437272,30.85789269955634,4,Others,barseem,2025-01-06,0.5094541
76.36283108048643,30.841264844101147,4,Others,barseem,2025-01-06,0.67302334
76.37949074542846,30.785150598595393,4,Others,bitergourd+chilli+tomato cucumber,2025-01-06,0.20646067
76.34793970488174,30.785753171482895,4,Others,brinjal+chilli,2025-01-06,0.50461704
76.34368821251354,30.72796390224372,4,Others,cabbage,2025-01-06,0.48387095
76.35078086441705,30.779678640021974,4,Others,cucumber,2025-01-06,0.4506636
76.36658333019827,30.80351231681864,4,Others,cucumber,2025-01-06,0.5157354
76.29551209434233,30.803791173649973,4,Others,cucumber,2025-01-06,0.3819178
76.30453976944666,30.798918749469113,4,Others,cucumber,2025-01-06,0.45765936
76.37930536023663,30.772160488496635,4,Others,cucumber+bittergourd,2025-01-06,0.5332068
76.30805708845197,30.850220442804865,4,Others,flower,2025-01-06,0.2007874
76.36283237849845,30.848753274858748,4,Others,fodder +nappier,2025-01-06,0.34552845
