point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.304133_30.807494,76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,0.78167117,0.8157651,0.60213774,0.492441118,-0.5088825,-0.23822223,0.6451109,0.7271095,0.697004615,0.7644628,0.6224787030769232,0.638937830352,0.1314454818826961,0.073865764,0.88445747,Spring_Maize,Kharif_Maize
76.30454_30.798919,76.30453976944666,30.798918749469117,4,Others,cucumber,0.60860926,0.6002626,0.6078959,0.47366345499999996,,,,0.3930921,0.29128075400000003,0.5323077,0.4159832176923076,0.4320868219354839,0.1697155149430289,0.04818024,0.7894737,Other,Other
76.305522_30.786548,76.30552227332193,30.786548179750383,1,Wheat,wheat +sugarcane,0.87950784,0.5101871,0.13431212,0.1090158993,,,,0.8518519,0.7359972857142857,0.54058194,0.39771515583333333,0.43524499698400004,0.2793524643732192,0.06533776,0.91276646,Wheat,Rice_Probable
76.305524_30.732504,76.30552419358486,30.73250377163866,2,Maize_Tall,maize,0.7726771,0.3749072,0.2701049,0.218135433,-0.26838747,0.1038526,0.27404517,0.70783275,0.5823401549999999,0.35502282,0.30498360750000003,0.38406871547967486,0.19026050925855553,0.11220861,0.7726771,Wheat,Rice
76.308057_30.85022,76.30805708845197,30.850220442804865,4,Others,flower,0.8420561,0.54236335,0.5559921,0.373665951,,,,0.8628673,0.6672336799999999,0.29712793,0.2239132046153846,0.4013948642992126,0.20530489837280103,0.044864666,0.8628673,Wheat,Kharif_Maize
76.308639_30.785163,76.30863864371808,30.785163398826068,4,Others,sugarcane,0.58034456,0.5254237,0.6762726,0.5482053280000001,-0.59432316,-0.43508664,0.7009085,0.8098894,0.740870862857143,0.7599094,0.6459372523076924,0.5641892661111112,0.19533587364107746,0.05984,0.93048835,Other,Kharif_Maize
76.310774_30.765383,76.31077396641193,30.765382757714164,4,Others,green chilli,0.6845559,0.24420877,0.12273838,0.1031438885,,,,0.86600906,0.7923918583333333,0.6255096,0.4136671091666666,0.4274576567948718,0.2671464131933172,0.07892108,0.92367816,Wheat,Rice_Probable
76.311139_30.761499,76.31113924532524,30.76149942435412,1,Wheat,wheat,0.8008092,0.7705678,0.29476082,0.22393652,,,,0.8005212,0.7478031485714285,0.7892063,0.627291565,0.5158561787966103,0.2532248227421389,0.10032223,0.9210702,Other,Rice_Probable
76.312017_30.756889,76.31201700514183,30.75688911120921,1,Wheat,wheat,0.92081684,0.32606402,0.14440994,0.1187510539,,,,0.90625,0.8050326857142858,0.5249351,0.31978247249999997,0.45078682281512605,0.3089773338677781,0.09847879,0.9477663,Wheat,Rice_Probable
76.312129_30.757429,76.31212880425522,30.7574293259236,1,Wheat,wheat,0.90852743,0.26973405,0.15138817,0.1188105264,,,,0.9048474,0.7873520557142857,0.51542974,0.26800532833333335,0.41812778283333335,0.3100258944411285,0.0312769,0.9630607,Wheat,Rice_Probable
76.312199_30.831863,76.31219930221343,30.831863228198408,1,Wheat,wheat,0.88709676,0.30799538,0.10784314,0.09672871049999998,,,,0.8517086,0.6792019785714285,0.27815744,0.23491758076923078,0.43241627958593754,0.2944120680945016,0.060340382,0.92933947,Wheat,Rice_Probable
76.313949_30.83753,76.3139493490568,30.837529549570675,1,Wheat,whaeat+ sugarcane(small),0.8366526,0.3566879,0.69365424,0.5996351659999999,-0.2057215,-0.011000524,0.27095345,0.8039304,0.7119926283333333,0.56796837,0.32691890076923075,0.45288317703125003,0.2144304997089981,0.05044092,0.8366526,Wheat,Other
76.314536_30.819208,76.31453613744078,30.81920826698816,1,Wheat,whaet,0.8836577,0.2791175,0.17466803,0.144023148,,,,0.88710415,0.7136727971428571,0.21764141,0.16493511615384618,0.4655191150793651,0.303521916146641,0.0729585,0.9309057,Wheat,Rice_Probable
76.314592_30.754156,76.31459167004749,30.754156314836937,1,Wheat,wheat,0.9054322,0.34020618,0.81302524,0.737000407,,,,0.871612,0.8120328533333333,0.7869487,0.6083935083333333,0.5276972845,0.2773847982315368,0.11243433,0.99018514,Wheat,Kharif_Maize
76.314718_30.817222,76.31471814971749,30.817221504794404,1,Wheat,wheat,0.88291,0.24519846,0.15260115,0.11330500839999999,-0.20586361,0.24662331,0.3519114,0.8935037,0.7971535914285715,0.5693182,0.3045169664615384,0.4491788109606299,0.30134996604386993,0.04956727,0.92699754,Wheat,Rice
76.31537_30.819019,76.31536987739328,30.81901935795536,4,Others,muskmelon,0.7807475,0.7968397,0.113072254,0.0980558824,,,,0.87784636,0.5017409971428571,0.19480519,0.1295870626153846,0.49220524442857144,0.30599915497791647,0.0694362,0.98886055,Spring_Maize,Rice_Probable
76.315889_30.734294,76.31588863981223,30.734293801052196,4,Others,napier/zugrcane,0.41124097,0.75250095,0.82814133,0.648489413,-0.66825396,-0.36329016,0.785138,0.72685313,0.6418570971428571,0.6709733,0.5274933375,0.5224099338400001,0.15067498740050583,0.14327063,0.9188616,Spring_Maize,Kharif_Maize
76.316632_30.857893,76.31663232437272,30.85789269955634,4,Others,barseem,0.8441242,0.79555136,0.82249147,0.6479384611111112,,,,0.84267455,0.75433177,0.6557462,0.4419441246153846,0.5448727614838711,0.1879787529847077,0.058245614,0.8441242,Other,Kharif_Maize
76.316829_30.734284,76.31682853750361,30.73428426638269,1,Wheat,wheat,0.89701784,0.31163648,0.1629393,0.141122088,0.04623514,0.46395564,-0.053735256,0.8350825,0.70953201,0.49710238,0.28070849583333335,0.403530888032,0.29000839901982584,-0.053735256,0.9002108,Wheat,Rice
76.317305_30.784625,76.31730500737402,30.7846245072241,4,Others,wasteland,0.9059808,0.22829366,0.12060573,0.10601356710000001,-0.160221,0.36378467,0.40853658,0.88133764,0.7135222385714285,0.16717948,0.14546038892307692,0.4313499150238095,0.31490863964507354,0.07622183,0.9608983,Wheat,Rice
