sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC
filebc494d5a79.141,633695.0,3406775.0,76.39727533,30.78649391,211.947,8.551,0.098,77.602,10.752,0.3,1.25,263.424,7.19130435
filebc494d5a79.142,630465.0,3409085.0,76.36382029,30.80769167,239.423,8.508,0.127,29.6912,99.68,0.375,1.75,263.424,14.0652174
filebc494d5a79.143,624295.0,3400375.0,76.29828091,30.72977947,282.606,8.463,0.112,80.3012,25.536,0.45,0.625,263.424,14.0652174
filebc494d5a79.144,633105.0,3411155.0,76.39168006,30.82607142,303.219,8.594,0.118,72.8784,13.888,0.2775,1.625,225.792,16.0108696
filebc494d5a79.145,628785.0,3400195.0,76.3451464,30.72767812,213.508,8.495,0.109,8.7724,11.648,0.4875,3.75,288.512,17.7391304
filebc494d5a79.146,628815.0,3411615.0,76.34689452,30.83069508,287.268,8.578,0.077,29.0164,32.032,0.3,0.375,175.616,14.0652174
filebc494d5a79.147,636295.0,3409325.0,76.42478078,30.80920105,275.604,8.407,0.112,38.4636,10.08,0.525,0.75,263.424,14.0652174
filebc494d5a79.148,629975.0,3404365.0,76.35810069,30.76516645,278.771,8.448,0.1,59.3824,21.952,0.75,1.25,301.056,18.026087
filebc494d5a79.149,633805.0,3410015.0,76.39884799,30.81570892,313.306,8.522,0.121,27.6668,30.464,0.375,1.25,125.44,15.0163043
filebc494d5a79.150,634485.0,3407145.0,76.40557826,30.78974237,188.91,8.657,0.065,47.236,33.824,0.525,0.5,175.616,7.83478261
filebc494d5a79.151,629175.0,3411985.0,76.35070455,30.83399365,246.942,8.618,0.082,32.3904,18.368,0.075,0.75,150.528,14.1478261
filebc494d5a79.152,632795.0,3399785.0,76.3869673,30.72353875,142.995,8.312,0.109,50.61,19.936,0.3375,0.25,188.16,14.0652174
filebc494d5a79.153,622665.0,3410555.0,76.2824767,30.82178519,258.604,8.429,0.08,100.5452,18.592,0.495,0.75,200.704,11.9565217
filebc494d5a79.154,626995.0,3411565.0,76.32786266,30.83044048,264.13,8.315,0.147,150.4804,160.384,0.6,2.5,313.6,18.4826087
filebc494d5a79.155,628075.0,3400225.0,76.33773597,30.72802539,226.854,8.049,0.122,4.0488,63.392,0.435,0.25,125.44,18.0152174
filebc494d5a79.156,627455.0,3410835.0,76.33258037,30.82380575,244.122,8.709,0.072,105.9436,6.0032,0.2625,0.375,225.792,11.15
filebc494d5a79.157,626075.0,3400865.0,76.31692929,30.73401257,212.173,8.382,0.091,39.1384,9.632,0.3,1.0,125.44,6.6826087
filebc494d5a79.158,630235.0,3407245.0,76.36118258,30.7911184,223.3,8.596,0.07,70.1792,19.488,0.4125,0.5,87.808,4.20652174
filebc494d5a79.159,624805.0,3408045.0,76.30453977,30.79891875,203.4,8.267,0.112,21.5936,44.128,0.45,0.5,225.792,12.0456522
filebc494d5a79.160,630805.0,3411785.0,76.36771881,30.83201065,197.55,8.732,0.055,51.9596,25.984,0.48,0.5,188.16,14.0652174
filebc494d5a79.161,628055.0,3399175.0,76.33739634,30.71855535,292.4,8.431,0.12,41.1628,15.904,0.3375,0.375,188.16,14.0652174
filebc494d5a79.162,630345.0,3402405.0,76.36171697,30.74744474,295.1,8.554,0.087,51.9596,14.784,0.45,0.5,137.984,14.0652174
filebc494d5a79.163,630085.0,3403715.0,76.35916739,30.75929075,239.05,8.525,0.092,45.2116,17.248,0.36,0.5,225.792,9.11304348
filebc494d5a79.164,624045.0,3401075.0,76.29575468,30.73612046,265.15,8.37,0.104,53.984,18.368,0.5475,0.375,200.704,14.0652174
filebc494d5a79.165,628105.0,3406775.0,76.33886679,30.78711032,261.85,8.389,0.103,40.488,12.992,0.375,0.25,225.792,13.7347826
filebc494d5a79.166,630625.0,3401385.0,76.36451172,30.73821257,219.2,8.249,0.121,29.6912,30.912,0.9,0.25,225.792,15.8543478
filebc494d5a79.167,629825.0,3406145.0,76.35675904,30.78124023,159.25,8.759,0.061,21.5936,16.8,0.45,0.5,263.424,21.4782609
filebc494d5a79.168,623235.0,3407725.0,76.28809417,30.79619607,290.95,8.388,0.112,47.9108,34.944,0.45,2.0,263.424,19.0847826
filebc494d5a79.169,632215.0,3407885.0,76.38195458,30.79667285,293.2,8.301,0.152,43.862,50.624,0.6075,0.625,213.248,14.0652174
filebc494d5a79.170,635585.0,3404115.0,76.41667139,30.7622843,268.4,8.658,0.061,116.7404,13.888,0.3975,1.5,263.424,14.0652174
filebc494d5a79.171,629155.0,3399795.0,76.34895986,30.72402958,248.9,8.068,0.088,55.3336,41.44,0.6,0.5,263.424,17.5543478
filebc494d5a79.172,631925.0,3402675.0,76.37825395,30.74970613,347.6,7.892,0.129,68.8296,67.648,0.6,0.125,275.968,21.4543478
filebc494d5a79.173,627215.0,3415255.0,76.33062188,30.86370436,273.15,7.876,0.088,68.1548,46.144,0.6375,0.25,288.512,20.6673913
filebc494d5a79.174,628175.0,3404085.0,76.33926198,30.7628361,286.55,7.8,0.047,46.5612,10.08,0.3375,0.25,62.72,10.673913
filebc494d5a79.175,630935.0,3400695.0,76.36766129,30.73195399,254.2,7.465,0.088,62.0816,35.168,0.525,0.5,250.88,14.0652174
filebc494d5a79.176,624675.0,3406915.0,76.30304371,30.78873849,232.05,8.198,0.111,45.8864,24.192,0.45,0.5,288.512,14.0652174
filebc494d5a79.177,628385.0,3412715.0,76.3425376,30.84066481,178.8,7.734,0.102,75.5776,13.216,0.705,0.5,288.512,19.9043478
filebc494d5a79.178,627725.0,3402555.0,76.33437076,30.74908226,318.2,8.421,0.104,38.4636,25.088,0.39,0.125,225.792,24.7978261
filebc494d5a79.179,629625.0,3407475.0,76.35483763,30.79326,183.25,8.456,0.072,92.4476,47.712,0.285,0.5,225.792,17.8565217
filebc494d5a79.180,629775.0,3406955.0,76.35633919,30.7885527,262.7,8.817,0.048,23.618,17.248,0.225,0.125,225.792,17.4
filebc494d5a79.181,632575.0,3409605.0,76.38593918,30.81214854,179.15,7.772,0.094,46.5612,99.008,0.525,0.5,275.968,14.0652174
filebc494d5a79.182,632025.0,3400885.0,76.37906835,30.73354751,296.8,8.232,0.12,43.1872,70.336,0.195,0.125,200.704,15.6826087
filebc494d5a79.183,637095.0,3407015.0,76.43283231,30.78827109,311.15,8.24,0.098,19.5692,40.096,0.3,0.5,263.424,14.0652174
filebc494d5a79.184,629205.0,3409755.0,76.35073651,30.81387365,346.65,8.403,0.105,64.106,39.2,0.435,0.5,137.984,14.0652174
filebc494d5a79.185,629965.0,3413805.0,76.35919458,30.85032529,182.05,8.333,0.09,28.3416,20.832,0.3825,0.5,188.16,14.0652174
filebc494d5a79.186,628235.0,3400915.0,76.33949287,30.73423274,331.2,8.427,0.11,80.976,46.816,0.75,0.5,301.056,32.701087
filebc494d5a79.190,625585.0,3403455.0,76.33944046,30.82093809,299.15,8.148,0.116,23.618,12.544,0.45,0.125,213.248,21.6217391
filebc494d5a79.191,626125.0,3408365.0,76.28887386,30.72139208,240.2,7.809,0.074,43.862,13.664,0.1425,0.25,175.616,14.6108696
filebc494d5a79.192,631295.0,3401465.0,76.32670266,30.78407756,245.95,8.427,0.068,23.618,11.2,0.3375,0.5,213.248,20.35
filebc494d5a79.193,628115.0,3410525.0,76.33716029,30.72415168,258.5,8.42,0.072,15.5204,135.744,0.06,0.5,137.984,14.0652174
filebc494d5a79.194,623405.0,3399435.0,76.30628929,30.73502236,302.65,8.197,0.143,58.7076,19.04,0.4125,0.5,401.408,7.14130435
filebc494d5a79.195,626945.0,3406425.0,76.40302532,30.80104779,302.2,8.267,0.136,26.992,20.608,0.435,0.5,301.056,14.0652174
