sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC
filebc494d5a79.69,625965.0,3404375.0,76.31621115,30.76568859,272.806,8.352,0.125,97.846,14.784,0.2775,0.75,225.792,1.02173913
filebc494d5a79.70,626495.0,3416275.0,76.32321906,30.87298295,273.155,8.373,0.152,68.8296,11.648,0.675,0.5,263.424,14.0652174
filebc494d5a79.71,636455.0,3405525.0,76.42594685,30.77490395,292.225,8.482,0.113,60.0572,12.096,0.375,0.25,225.792,20.9521739
filebc494d5a79.72,629125.0,3406215.0,76.3494541,30.78194804,249.9,8.696,0.068,27.6668,6.048,0.12,0.5,188.16,14.0652174
filebc494d5a79.73,633675.0,3407385.0,76.39714593,30.79199887,260.83,8.628,0.099,43.1872,5.6,0.0375,0.5,225.792,3.24347826
filebc494d5a79.74,625835.0,3410205.0,76.31556909,30.81829555,209.5,8.393,0.084,136.9844,16.128,0.4875,0.375,188.16,14.0652174
filebc494d5a79.75,626045.0,3406475.0,76.31730501,30.78462451,303.245,8.239,0.098,85.6996,12.544,0.4125,0.25,200.704,18.4304348
filebc494d5a79.76,628195.0,3409095.0,76.34009754,30.8080294,231.159,8.293,0.11,73.5532,19.264,0.3,0.375,225.792,9.9673913
filebc494d5a79.77,623445.0,3406945.0,76.29019471,30.78913769,258.5,8.34,0.11,93.1224,13.664,0.315,0.5,225.792,14.0652174
filebc494d5a79.78,628055.0,3404005.0,76.33799844,30.76212735,263.215,8.578,0.088,77.602,16.128,0.975,0.5,263.424,14.0652174
filebc494d5a79.79,627615.0,3403885.0,76.33338718,30.76109216,287.54,8.505,0.09,47.236,29.12,0.45,0.125,188.16,14.0652174
filebc494d5a79.80,630845.0,3414545.0,76.36849034,30.8569038,279.63,8.566,0.083,27.6668,16.352,0.39,0.375,250.88,14.0652174
filebc494d5a79.81,626355.0,3402045.0,76.31999854,30.74462786,242.161,8.341,0.081,33.0652,19.712,0.4125,0.25,288.512,14.0652174
filebc494d5a79.82,625945.0,3415755.0,76.31740282,30.8683507,216.58,8.5,0.098,8.7724,17.024,0.3,1.875,275.968,14.0652174
filebc494d5a79.83,634165.0,3411345.0,76.40278503,30.82766585,216.29,8.587,0.083,47.9108,17.696,0.36,0.125,200.704,14.0652174
filebc494d5a79.84,627055.0,3405055.0,76.32768224,30.77170688,180.84,8.606,0.084,55.3336,18.592,0.2775,0.125,200.704,13.4826087
filebc494d5a79.85,632915.0,3403775.0,76.38873661,30.75951885,192.022,8.552,0.081,80.976,11.872,0.375,0.25,225.792,0.86304348
filebc494d5a79.86,625485.0,3403905.0,76.31113925,30.76149942,201.69,8.331,0.154,94.472,18.144,0.435,0.5,225.792,18.3347826
filebc494d5a79.87,627015.0,3407815.0,76.32760636,30.79660938,207.628,8.416,0.099,90.4232,0.448,0.3525,0.25,200.704,15.276087
filebc494d5a79.88,622955.0,3408085.0,76.28521135,30.79947275,186.208,8.229,0.118,202.44,41.216,0.6,0.375,225.792,7.2673913
filebc494d5a79.89,628845.0,3403185.0,76.346148,30.75464468,212.058,8.665,0.072,85.6996,12.992,0.225,0.25,200.704,14.0652174
filebc494d5a79.90,627505.0,3409415.0,76.33292608,30.81099051,266.514,8.486,0.09,26.992,35.168,0.48,0.5,188.16,18.9130435
filebc494d5a79.91,627015.0,3415405.0,76.3285491,30.86507899,210.809,8.66,0.077,45.2116,16.128,0.36,2.0,263.424,19.473913
filebc494d5a79.92,625435.0,3412215.0,76.31163464,30.83647033,263.699,8.609,0.105,37.7888,18.144,0.6,0.5,301.056,16.5108696
filebc494d5a79.93,626135.0,3414545.0,76.31924032,30.85741504,253.72,8.411,0.128,107.2932,21.28,0.3,1.0,188.16,14.0652174
filebc494d5a79.94,635845.0,3406355.0,76.41968401,30.78246111,299.536,8.522,0.08,50.61,29.792,0.3375,0.375,188.16,15.2869565
filebc494d5a79.95,624895.0,3411075.0,76.30585003,30.82624332,174.429,8.525,0.076,89.0736,11.2,0.315,2.75,225.792,16.0543478
filebc494d5a79.96,627665.0,3412155.0,76.33494026,30.83569087,214.11,8.426,0.099,114.716,17.248,0.66,0.625,225.792,1.09347826
filebc494d5a79.97,632395.0,3405185.0,76.38348679,30.77229639,207.87,8.482,0.108,84.35,12.544,0.45,1.75,250.88,24.9673913
filebc494d5a79.98,628785.0,3405245.0,76.34577984,30.77323456,242.981,8.403,0.139,187.5944,27.328,0.525,0.5,225.792,9.26521739
