,NDVI,NDBI,SAVI,BSI
pH,0.8213267111212794,0.8908450854409604,0.9723008754563524,0.9840713375649591
OC,0.33212686329498475,0.4444983959990076,0.2927553254577288,0.35031924040350076
EC,0.7814586035087506,0.6714241010244056,0.5443598200691876,0.663605235393567
K2O,0.9265985006036467,0.9396980520964295,0.6071760259777351,0.8726529260318511
available_P,0.9900264904567149,0.7835564305639225,0.7066345859565549,0.7206669671135066
available_N,0.03419363282504846,0.02572894312924804,0.01210606464045662,0.03441551331246465
CEC,0.9985840544792896,0.9964129481343349,0.5839471180438732,0.957701761715698
bulk_density,0.902190554510042,0.871644997985535,0.6531272224118282,0.8852728948161156
CaCO3,0.8566228487399885,0.4942621111379986,0.7102000832445211,0.6266279512133884
